episode,return,success,collisions,steps
0,-13.684880142807941,0,0,200
1,-13.19576563253997,0,0,200
2,-13.415387751311055,0,0,200
3,-12.983398107588279,0,0,200
4,-13.825876327753049,0,0,200
5,-13.300010308027254,0,0,200
6,-13.009731412827954,0,0,200
7,-13.301642744392137,0,0,200
8,-13.259622907787548,0,0,200
9,-13.572682830840328,0,0,200
10,-14.881891614347676,0,0,200
11,-13.066497237756831,0,0,200
12,-14.120286128818968,0,0,200
13,-12.63560582637784,0,0,200
14,-14.840388887524584,0,0,200
15,-15.03845791086552,0,0,200
16,-14.802204312533114,0,0,200
17,-15.373862137794472,0,0,200
18,-11.342983038127423,0,0,200
19,-14.514823327548772,0,0,200
20,-15.280047346055484,0,0,200
21,-14.927738186120965,0,0,200
22,-15.658212914466834,0,0,200
23,-13.188364898189889,0,0,200
24,-15.572306829094863,0,0,200
25,-14.118747223317603,0,0,200
26,-13.659105000048864,0,0,200
27,-15.64416818410156,0,0,200
28,-15.062288879752133,0,0,200
29,-15.85116486787793,0,0,200
30,-15.594683956503843,0,0,200
31,-13.395464746803032,0,0,200
32,-14.092083375677442,0,0,200
33,-12.470973249673841,0,0,200
34,-15.262978723049144,0,0,200
35,-11.713396430164577,0,0,200
36,-11.072502044737341,0,0,200
37,-14.757349678277945,0,0,200
38,-14.965934385322006,0,0,200
39,-14.261896461583655,0,0,200
40,-15.81662781774995,0,0,200
41,-16.095166995525332,0,0,200
42,-15.946627455353713,0,0,200
43,-15.605249121189088,0,0,200
44,-16.169031592607467,0,0,200
45,-15.802127637863133,0,0,200
46,-15.903918322324728,0,0,200
47,-16.16754548788068,0,0,200
48,-16.22467547297475,0,0,200
49,-15.983032801151246,0,0,200
50,-14.365940809398863,0,0,200
51,-14.224087341278771,0,0,200
52,-14.270720591545086,0,0,200
53,-15.603810029625867,0,0,200
54,-13.892382341399774,0,0,200
55,-15.147400377839782,0,0,200
56,-12.75847116090356,0,0,200
57,-15.485646788924907,0,0,200
58,-13.034309113174661,0,0,200
59,-13.10281988285481,0,0,200
60,-14.051061156541092,0,0,200
61,-15.764358761310557,0,0,200
62,-13.851451398208722,0,0,200
63,-14.878239233195757,0,0,200
64,-13.633795309960828,0,0,200
65,-12.031542981402016,0,0,200
66,-14.560511040091491,0,0,200
67,-15.803074752688387,0,0,200
68,-14.625514695383592,0,0,200
69,-15.676838498711565,0,0,200
70,-15.776169347166984,0,0,200
71,-11.35566883660853,0,0,200
72,-11.24936263613403,0,0,200
73,-15.954808088541004,0,0,200
74,-15.15321043074129,0,0,200
75,-11.00423844844103,0,0,200
76,-13.933186648190002,0,0,200
77,-13.656809278726561,0,0,200
78,-13.613716326057894,0,0,200
79,-14.997543662190413,0,0,200
80,-16.047395860552758,0,0,200
81,-13.238841648548831,0,0,200
82,-16.280909290313694,0,0,200
83,-16.05511427164075,0,0,200
84,-14.370984228104334,0,0,200
85,-14.273852157369237,0,0,200
86,-12.972942812144751,0,0,200
87,-16.037755619883512,0,0,200
88,-15.92664174675939,0,0,200
89,-13.474271723777042,0,0,200
90,-15.505325762331466,0,0,200
91,-15.345408164113735,0,0,200
92,-12.217877877280115,0,0,200
93,-15.959990709423995,0,0,200
94,-15.538875951766942,0,0,200
95,-13.655587726235373,0,0,200
96,-14.342573269605618,0,0,200
97,-15.533485927581763,0,0,200
98,-13.803788072764856,0,0,200
99,-15.561611946821186,0,0,200
100,-15.693982833027816,0,0,200
101,-15.998251833915685,0,0,200
102,-15.676996117234202,0,0,200
103,-15.606959586739512,0,0,200
104,-15.159231477379777,0,0,200
105,-15.218119558095903,0,0,200
106,-15.414128594994516,0,0,200
107,-15.139147653579691,0,0,200
108,-15.658785548210123,0,0,200
109,-15.554231541752788,0,0,200
110,-15.36751685380933,0,0,200
111,-15.798256813883757,0,0,200
112,-15.21422347366807,0,0,200
113,-14.975120138525938,0,0,200
114,-15.010856145024276,0,0,200
115,-15.448902534842462,0,0,200
116,-15.077181076407404,0,0,200
117,-15.532991811037036,0,0,200
118,-15.40794956326482,0,0,200
119,-15.476238041520094,0,0,200
120,-15.591616963744137,0,0,200
121,-15.496612178683252,0,0,200
122,-15.784401815533613,0,0,200
123,-15.600859817266436,0,0,200
124,-15.719797127842874,0,0,200
125,-15.44451369583604,0,0,200
126,-15.648919522166224,0,0,200
127,-15.114981659650779,0,0,200
128,-15.483047207593895,0,0,200
129,-15.720599537491776,0,0,200
130,-15.799332665801018,0,0,200
131,-15.638943942785236,0,0,200
132,-15.246697559356669,0,0,200
133,-15.187790548205351,0,0,200
134,-15.955959310531586,0,0,200
135,-15.206423708200424,0,0,200
136,-15.794264351725552,0,0,200
137,-15.122486991584275,0,0,200
138,-15.99944958627221,0,0,200
139,-15.964251008033726,0,0,200
140,-15.865002440810175,0,0,200
141,-15.904598518609976,0,0,200
142,-15.165459332019068,0,0,200
143,-14.837856968641256,0,0,200
144,-15.217975571155522,0,0,200
145,-15.734592162966702,0,0,200
146,-15.437480174899076,0,0,200
147,-15.281090945899463,0,0,200
148,-15.233159520626046,0,0,200
149,-15.388974199593042,0,0,200
150,-15.324520646929717,0,0,200
151,-15.70757176518437,0,0,200
152,-15.90881231069562,0,0,200
153,-15.602150824069948,0,0,200
154,-15.468341397643066,0,0,200
155,-15.53391277134416,0,0,200
156,-15.660042350888226,0,0,200
157,-15.229433380961392,0,0,200
158,-15.502591981887793,0,0,200
159,-15.560956328511214,0,0,200
160,-15.585014104247067,0,0,200
161,-15.897750514149639,0,0,200
162,-15.716241019368148,0,0,200
163,-15.579508643746351,0,0,200
164,-15.39626310706136,0,0,200
165,-15.80713701784608,0,0,200
166,-16.096854957342117,0,0,200
167,-15.724571385383577,0,0,200
168,-15.899692788124058,0,0,200
169,-15.882057454586004,0,0,200
170,-15.641692041754695,0,0,200
171,-15.54749983489511,0,0,200
172,-15.921079959869356,0,0,200
173,-15.745763897299739,0,0,200
174,-14.79467761605975,0,0,200
175,-14.837264627926025,0,0,200
176,-14.82832261338827,0,0,200
177,-14.91043799459932,0,0,200
178,-14.65569740921256,0,0,200
179,-15.100255902260518,0,0,200
180,-15.88123445823786,0,0,200
181,-15.147530504465077,0,0,200
182,-15.226000011861295,0,0,200
183,-14.269496339708546,0,0,200
184,-14.612930859029264,0,0,200
185,-11.817351384889335,0,0,200
186,-15.0742101447284,0,0,200
187,-14.562568431496597,0,0,200
188,-14.462045639902335,0,0,200
189,-12.562411606833324,0,0,200
190,-12.087406063973887,0,0,200
191,-15.321456942111228,0,0,200
192,-13.02588266298174,0,0,200
193,-14.344614037647816,0,0,200
194,-12.363685634881254,0,0,200
195,-15.96731825411317,0,0,200
196,-15.395911299586267,0,0,200
197,-13.208211885541651,0,0,200
198,-14.144858882538948,0,0,200
199,-12.182401616647837,0,0,200
200,-13.7540186153352,0,0,200
201,-12.236526909247036,0,0,200
202,-12.572421648502347,0,0,200
203,-13.095064329504941,0,0,200
204,-15.82165781013665,0,0,200
205,-14.485945909619309,0,0,200
206,-14.739596461653687,0,0,200
207,-14.772496502995462,0,0,200
208,-14.836402084827398,0,0,200
209,-15.556964903473826,0,0,200
210,-14.912536046802972,0,0,200
211,-15.895513322353336,0,0,200
212,-14.93192198216913,0,0,200
213,-15.108569773435566,0,0,200
214,-15.141542834937546,0,0,200
215,-15.690006794929477,0,0,200
216,-15.629334759116148,0,0,200
217,-14.83786092638967,0,0,200
218,-15.646920838355992,0,0,200
219,-15.246441384553885,0,0,200
220,-15.318200995922062,0,0,200
221,-15.839353629350633,0,0,200
222,-15.492677780389759,0,0,200
223,-15.744590740799875,0,0,200
224,-15.726934904754135,0,0,200
225,-15.398880719542479,0,0,200
226,-15.16609546482561,0,0,200
227,-15.610689177513096,0,0,200
228,-15.355922236442543,0,0,200
229,-15.703301470875711,0,0,200
230,-15.51328410148618,0,0,200
231,-15.680341567993132,0,0,200
232,-15.59222843289373,0,0,200
233,-15.595005326867081,0,0,200
234,-15.693205636143656,0,0,200
235,-15.266768611371493,0,0,200
236,-15.429116337895366,0,0,200
237,-13.770605419725165,0,0,200
238,-13.829508505910617,0,0,200
239,-14.907284730076764,0,0,200
240,-14.479023903012255,0,0,200
241,-15.573892536163303,0,0,200
242,-15.639223601818061,0,0,200
243,-15.376326841264937,0,0,200
244,-15.368178198635553,0,0,200
245,-15.81408092916009,0,0,200
246,-15.633843460082982,0,0,200
247,-15.229630252122856,0,0,200
248,-15.641080861687634,0,0,200
249,-15.892424040436719,0,0,200
250,-15.354819401502585,0,0,200
251,-15.719802611470197,0,0,200
252,-15.685365217328046,0,0,200
253,-15.996662353873226,0,0,200
254,-14.961289193630195,0,0,200
255,-15.54667178332803,0,0,200
256,-15.5109079891443,0,0,200
257,-15.781740792989705,0,0,200
258,-13.59146370902656,0,0,200
259,-15.711752583980534,0,0,200
260,-15.752891075015041,0,0,200
261,-15.772483357191057,0,0,200
262,-16.030081730484937,0,0,200
263,-15.03972406327722,0,0,200
264,-16.05395103633401,0,0,200
265,-14.466508435606931,0,0,200
266,-15.345546388030026,0,0,200
267,-15.796797930598231,0,0,200
268,-15.395286097526526,0,0,200
269,-15.583387097120259,0,0,200
270,-15.607390969395611,0,0,200
271,-15.590104722380612,0,0,200
272,-15.659708901643725,0,0,200
273,-15.16048978209493,0,0,200
274,-15.823879569172831,0,0,200
275,-15.502600755691507,0,0,200
276,-15.422965648174259,0,0,200
277,-15.243664124011971,0,0,200
278,-15.641952496170973,0,0,200
279,-15.355496423840497,0,0,200
280,-15.698099162578554,0,0,200
281,-15.262574263811088,0,0,200
282,-15.493026735782596,0,0,200
283,-15.795583372712105,0,0,200
284,-15.614150645732856,0,0,200
285,-15.198896633982633,0,0,200
286,-15.585983374118776,0,0,200
287,-15.49661548078058,0,0,200
288,-15.481495397686935,0,0,200
289,-15.318621037304379,0,0,200
290,-15.586294668316814,0,0,200
291,-15.09540628433225,0,0,200
292,-15.941672175526591,0,0,200
293,-15.350010269284226,0,0,200
294,-15.520963099002813,0,0,200
295,-15.15565357148645,0,0,200
296,-15.643047537803625,0,0,200
297,-15.36234027236698,0,0,200
298,-13.204200814813364,0,0,200
299,-14.837908276319485,0,0,200
0,-13.684880142807941,0,0,200
0,-13.684880142807941,0,0,200
1,-13.19576563253997,0,0,200
1,-13.19576563253997,0,0,200
2,-13.415387751311055,0,0,200
3,-12.983398107588279,0,0,200
2,-13.415387751311055,0,0,200
3,-12.983398107588279,0,0,200
4,-13.825876327753049,0,0,200
4,-13.825876327753049,0,0,200
5,-13.300010308027254,0,0,200
5,-13.300010308027254,0,0,200
6,-13.009731412827954,0,0,200
6,-13.009731412827954,0,0,200
7,-13.301642744392137,0,0,200
7,-13.301642744392137,0,0,200
8,-13.259622907787548,0,0,200
8,-13.259622907787548,0,0,200
9,-13.572682830840328,0,0,200
9,-13.572682830840328,0,0,200
10,-14.881888768225888,0,0,200
10,-14.881888768225888,0,0,200
11,-13.066499160751684,0,0,200
11,-13.066499160751684,0,0,200
12,-14.120280895717421,0,0,200
12,-14.120280895717421,0,0,200
13,-12.635610567182276,0,0,200
13,-12.635610567182276,0,0,200
14,-14.840383488833883,0,0,200
14,-14.840383488833883,0,0,200
15,-15.038450480401496,0,0,200
15,-15.038450480401496,0,0,200
16,-14.802203168496465,0,0,200
16,-14.802203168496465,0,0,200
17,-15.373860024809812,0,0,200
17,-15.373860024809812,0,0,200
18,-11.342977043390276,0,0,200
18,-11.342977043390276,0,0,200
19,-14.514825815483897,0,0,200
19,-14.514825815483897,0,0,200
20,-15.284498628377888,0,0,200
21,-14.96605566084383,0,0,200
20,-15.284498628377888,0,0,200
22,-15.68642108976838,0,0,200
21,-14.96605566084383,0,0,200
23,-13.201849554255592,0,0,200
22,-15.68642108976838,0,0,200
24,-15.563510420322395,0,0,200
23,-13.201849554255592,0,0,200
25,-13.953739807903746,0,0,200
24,-15.563510420322395,0,0,200
26,-13.578299035280928,0,0,200
25,-13.953739807903746,0,0,200
27,-15.629640276133987,0,0,200
26,-13.578299035280928,0,0,200
28,-15.107078041285249,0,0,200
27,-15.629640276133987,0,0,200
28,-15.107078041285249,0,0,200
29,-15.882371663451167,0,0,200
29,-15.882371663451167,0,0,200
30,-15.567206802368137,0,0,200
31,-13.253251841440791,0,0,200
30,-15.567206802368137,0,0,200
32,-13.96022720500824,0,0,200
31,-13.253251841440791,0,0,200
33,-12.299880593791602,0,0,200
32,-13.96022720500824,0,0,200
34,-15.270828489735695,0,0,200
33,-12.299880593791602,0,0,200
35,-11.538487301543356,0,0,200
34,-15.270828489735695,0,0,200
36,-10.939354726821186,0,0,200
35,-11.538487301543356,0,0,200
36,-10.939354726821186,0,0,200
37,-15.007419709637738,0,0,200
38,-14.973109711110563,0,0,200
37,-15.007419709637738,0,0,200
39,-14.184104707986101,0,0,200
38,-14.973109711110563,0,0,200
39,-14.184104707986101,0,0,200
40,-15.803285765051815,0,0,200
41,-15.671647846102687,0,0,200
40,-15.803285765051815,0,0,200
42,-14.671188405305127,0,0,200
41,-15.671647846102687,0,0,200
43,-15.014428951740236,0,0,200
42,-14.671188405305127,0,0,200
44,-15.702214088439915,0,0,200
43,-15.014428951740236,0,0,200
45,-15.337903129458402,0,0,200
44,-15.702214088439915,0,0,200
46,-15.323341130614256,0,0,200
45,-15.337903129458402,0,0,200
