episode,episode_return,success,collisions,steps
0,-84.23685240534874,0,1,3567
1,-50.0,0,1,1
2,-50.0,0,1,1
3,-50.0,0,1,1
4,-50.0,0,1,1
5,-50.0,0,1,1
6,-50.0,0,1,1
7,-50.0,0,1,1
8,-50.0,0,1,1
9,-50.0,0,1,1
10,-50.0,0,1,1
11,-50.0,0,1,1
12,-50.0,0,1,1
13,-50.0,0,1,1
14,-50.0,0,1,1
15,-50.0,0,1,1
16,-50.0,0,1,1
17,-50.0,0,1,1
18,-50.0,0,1,1
19,-50.0,0,1,1
20,-50.0,0,1,1
21,-50.0,0,1,1
22,-50.0,0,1,1
23,-50.0,0,1,1
24,-51.12696286866259,0,1,118
25,-50.0,0,1,1
26,-50.0,0,1,1
27,-50.0,0,1,1
28,-50.0,0,1,1
29,-50.0,0,1,1
30,-50.0,0,1,1
31,-50.0,0,1,1
32,-50.0,0,1,1
33,-50.0,0,1,1
34,-50.0,0,1,1
35,-50.0,0,1,1
36,-50.0,0,1,1
37,-50.0,0,1,1
38,-50.0,0,1,1
39,-50.0,0,1,1
40,-50.0,0,1,1
41,-50.0,0,1,1
42,-50.0,0,1,1
43,-50.0,0,1,1
44,-50.0,0,1,1
45,-50.0,0,1,1
46,-50.0,0,1,1
47,-50.0,0,1,1
48,-50.0,0,1,1
49,-50.0,0,1,1
50,-50.0,0,1,1
51,-50.0,0,1,1
52,-50.0,0,1,1
53,-50.0,0,1,1
54,-50.0,0,1,1
55,-50.0,0,1,1
56,-50.0,0,1,1
57,-50.0,0,1,1
58,-50.0,0,1,1
59,-50.0,0,1,1
60,-50.0,0,1,1
61,-50.0,0,1,1
62,-50.0,0,1,1
63,-50.0,0,1,1
64,-50.0,0,1,1
65,-50.0,0,1,1
66,-50.0,0,1,1
67,-50.0,0,1,1
68,-50.0,0,1,1
69,-50.0,0,1,1
70,-50.0,0,1,1
71,-50.0,0,1,1
72,-50.0,0,1,1
73,-50.0,0,1,1
74,-50.0,0,1,1
75,-50.0,0,1,1
76,-50.0,0,1,1
77,-50.0,0,1,1
78,-50.0,0,1,1
79,-50.0,0,1,1
80,-50.0,0,1,1
81,-50.0,0,1,1
82,-50.0,0,1,1
83,-50.0,0,1,1
84,-50.0,0,1,1
85,-50.0,0,1,1
86,-50.0,0,1,1
87,-50.0,0,1,1
88,-50.0,0,1,1
89,-50.0,0,1,1
90,-50.0,0,1,1
91,-50.0,0,1,1
92,-50.0,0,1,1
93,-50.0,0,1,1
94,-50.0,0,1,1
95,-50.0,0,1,1
96,-50.0,0,1,1
97,-50.0,0,1,1
98,-50.0,0,1,1
99,-50.0,0,1,1
100,-50.0,0,1,1
101,-50.0,0,1,1
102,-50.0,0,1,1
103,-50.0,0,1,1
104,-50.0,0,1,1
105,-50.0,0,1,1
106,-50.0,0,1,1
107,-50.0,0,1,1
108,-50.0,0,1,1
109,-50.0,0,1,1
110,-50.0,0,1,1
111,-50.0,0,1,1
112,-50.0,0,1,1
113,-50.0,0,1,1
114,-50.0,0,1,1
115,-50.0,0,1,1
116,-50.0,0,1,1
117,-50.0,0,1,1
118,-50.0,0,1,1
119,-50.0,0,1,1
120,-50.0,0,1,1
121,-50.0,0,1,1
122,-50.0,0,1,1
123,-50.0,0,1,1
124,-50.0,0,1,1
125,-50.0,0,1,1
126,-50.0,0,1,1
127,-50.0,0,1,1
128,-50.0,0,1,1
129,-50.0,0,1,1
130,-50.0,0,1,1
131,-50.0,0,1,1
132,-50.0,0,1,1
133,-50.0,0,1,1
134,-50.0,0,1,1
135,-50.0,0,1,1
136,-50.0,0,1,1
137,-50.0,0,1,1
138,-50.0,0,1,1
139,-50.0,0,1,1
140,-50.0,0,1,1
141,-50.0,0,1,1
142,-50.0,0,1,1
143,-50.0,0,1,1
144,-50.0,0,1,1
145,-50.0,0,1,1
146,-50.0,0,1,1
147,100.0,1,1,1
148,100.0,1,1,1
149,100.0,1,1,1
150,100.0,1,1,1
151,100.0,1,1,1
152,100.0,1,1,1
153,100.0,1,1,1
154,100.0,1,1,1
155,100.0,1,1,1
156,100.0,1,1,1
157,100.0,1,1,1
158,100.0,1,1,1
159,100.0,1,1,1
160,100.0,1,1,1
161,100.0,1,1,1
162,100.0,1,1,1
163,100.0,1,1,1
164,100.0,1,1,1
165,100.0,1,1,1
166,100.0,1,1,1
167,100.0,1,1,1
168,100.0,1,1,1
169,100.0,1,1,1
170,100.0,1,1,1
171,100.0,1,1,1
172,100.0,1,1,1
173,100.0,1,1,1
174,100.0,1,1,1
175,100.0,1,1,1
176,100.0,1,1,1
177,100.0,1,1,1
178,100.0,1,1,1
179,100.0,1,1,1
180,100.0,1,1,1
181,100.0,1,1,1
182,100.0,1,1,1
183,100.0,1,1,1
184,100.0,1,1,1
185,100.0,1,1,1
186,100.0,1,1,1
187,100.0,1,1,1
188,100.0,1,1,1
189,100.0,1,1,1
190,100.0,1,1,1
191,100.0,1,1,1
192,100.0,1,1,1
193,100.0,1,1,1
194,100.0,1,1,1
